hname,aname,hPossession,aPossession,hshotsOnTarget,ashotsOnTarget,hshots,ashots,hyellowCards,ayellowCards,hredCards,aredCards,hfouls,afouls,tournament_id
France,Senegal,0,0,7,5,16,6,1,1,0,0,18,21,WC-2002
Republic of Ireland,Cameroon,0,0,5,5,9,11,3,1,0,0,9,12,WC-2002
Uruguay,Denmark,0,0,4,4,5,6,1,2,0,0,12,8,WC-2002
Germany,Saudi Arabia,0,0,14,0,24,2,2,1,0,0,19,10,WC-2002
Argentina,Nigeria,0,0,9,2,18,7,2,1,0,0,14,19,WC-2002
Paraguay,South Africa,0,0,6,4,9,9,4,4,0,0,17,18,WC-2002
England,Sweden,0,0,4,6,10,13,1,2,0,0,10,13,WC-2002
Spain,Slovenia,0,0,7,3,13,10,1,2,0,0,17,15,WC-2002
Croatia,Mexico,0,0,4,4,8,8,0,0,1,0,16,17,WC-2002
Brazil,Turkey,0,0,11,4,18,6,1,3,0,2,18,21,WC-2002
Italy,Ecuador,0,0,8,4,13,8,1,3,0,0,19,17,WC-2002
China,Costa Rica,0,0,3,5,6,11,3,4,0,0,15,18,WC-2002
Japan,Belgium,0,0,4,6,8,9,2,4,0,0,27,25,WC-2002
South Korea,Poland,0,0,8,2,14,8,1,3,0,0,14,20,WC-2002
Russia,Tunisia,0,0,7,2,16,6,2,1,0,0,15,13,WC-2002
United States,Portugal,45,55,7,1,12,13,1,2,0,0,20,17,WC-2002
Germany,Republic of Ireland,0,0,3,3,8,7,0,0,0,0,15,18,WC-2002
Denmark,Senegal,0,0,2,7,3,13,4,3,0,1,20,13,WC-2002
Cameroon,Saudi Arabia,0,0,6,4,13,14,1,1,0,0,16,11,WC-2002
France,Uruguay,0,0,7,8,13,11,1,4,1,0,18,21,WC-2002
Sweden,Nigeria,0,0,4,5,8,18,2,1,0,0,8,12,WC-2002
Spain,Paraguay,0,0,4,2,12,7,1,3,0,0,13,16,WC-2002
Argentina,England,55,45,4,5,11,11,1,2,0,0,21,18,WC-2002
South Africa,Slovenia,0,0,6,1,12,5,2,4,0,0,19,13,WC-2002
Italy,Croatia,45,55,6,7,9,10,1,1,0,0,26,21,WC-2002
Brazil,China,0,0,7,3,8,5,2,0,0,0,12,7,WC-2002
Belgium,Russia,0,0,6,5,16,11,1,4,0,0,19,19,WC-2002
Japan,Tunisia,0,0,7,1,14,8,0,2,0,0,16,20,WC-2002
Poland,United States,35,65,7,7,10,16,4,1,0,0,21,11,WC-2002
South Korea,Portugal,0,0,4,4,10,6,3,2,0,2,22,18,WC-2002
Mexico,Ecuador,70,30,7,4,12,7,1,5,0,0,9,17,WC-2002
