tournament_id,match_id,match_date,stage_name,match_period,team_id,team_name,home_team,away_team,card_minute,is_yellow,is_red
WC-2002,M-2002-01,2002-05-31,group stage,"first half, stoppage time",T-30,France,1,0,47,True,False
WC-2002,M-2002-01,2002-05-31,group stage,second half,T-65,Senegal,0,1,51,True,False
WC-2002,M-2002-02,2002-06-01,group stage,first half,T-60,Republic Of Ireland,1,0,30,True,False
WC-2002,M-2002-02,2002-06-01,group stage,second half,T-60,Republic Of Ireland,1,0,51,True,False
WC-2002,M-2002-02,2002-06-01,group stage,second half,T-60,Republic Of Ireland,1,0,82,True,False
WC-2002,M-2002-02,2002-06-01,group stage,second half,T-11,Cameroon,0,1,89,True,False
WC-2002,M-2002-03,2002-06-01,group stage,first half,T-84,Uruguay,1,0,25,True,False
WC-2002,M-2002-03,2002-06-01,group stage,first half,T-22,Denmark,0,1,34,True,False
WC-2002,M-2002-03,2002-06-01,group stage,second half,T-22,Denmark,0,1,51,True,False
WC-2002,M-2002-04,2002-06-01,group stage,first half,T-31,Germany,1,0,43,True,False
WC-2002,M-2002-04,2002-06-01,group stage,second half,T-31,Germany,1,0,83,True,False
WC-2002,M-2002-04,2002-06-01,group stage,"second half, stoppage time",T-63,Saudi Arabia,0,1,91,True,False
WC-2002,M-2002-05,2002-06-02,group stage,second half,T-03,Argentina,1,0,51,True,False
WC-2002,M-2002-05,2002-06-02,group stage,second half,T-50,Nigeria,0,1,73,True,False
WC-2002,M-2002-05,2002-06-02,group stage,second half,T-03,Argentina,1,0,90,True,False
WC-2002,M-2002-06,2002-06-02,group stage,first half,T-70,South Africa,0,1,3,True,False
WC-2002,M-2002-06,2002-06-02,group stage,first half,T-70,South Africa,0,1,9,True,False
WC-2002,M-2002-06,2002-06-02,group stage,first half,T-55,Paraguay,1,0,35,True,False
WC-2002,M-2002-06,2002-06-02,group stage,first half,T-70,South Africa,0,1,38,True,False
WC-2002,M-2002-06,2002-06-02,group stage,"first half, stoppage time",T-70,South Africa,0,1,47,True,False
WC-2002,M-2002-06,2002-06-02,group stage,second half,T-55,Paraguay,1,0,65,True,False
WC-2002,M-2002-06,2002-06-02,group stage,second half,T-55,Paraguay,1,0,90,True,False
WC-2002,M-2002-06,2002-06-02,group stage,"second half, stoppage time",T-55,Paraguay,1,0,93,True,False
WC-2002,M-2002-07,2002-06-02,group stage,first half,T-28,England,1,0,12,True,False
WC-2002,M-2002-07,2002-06-02,group stage,"first half, stoppage time",T-74,Sweden,0,1,47,True,False
WC-2002,M-2002-07,2002-06-02,group stage,second half,T-74,Sweden,0,1,73,True,False
WC-2002,M-2002-08,2002-06-02,group stage,first half,T-73,Spain,1,0,36,True,False
WC-2002,M-2002-08,2002-06-02,group stage,"first half, stoppage time",T-69,Slovenia,0,1,46,True,False
WC-2002,M-2002-08,2002-06-02,group stage,second half,T-69,Slovenia,0,1,65,True,False
WC-2002,M-2002-09,2002-06-03,group stage,second half,T-18,Croatia,1,0,59,False,True
WC-2002,M-2002-10,2002-06-03,group stage,first half,T-80,Turkey,0,1,21,True,False
WC-2002,M-2002-10,2002-06-03,group stage,first half,T-80,Turkey,0,1,24,True,True
WC-2002,M-2002-10,2002-06-03,group stage,first half,T-80,Turkey,0,1,44,True,True
WC-2002,M-2002-10,2002-06-03,group stage,second half,T-09,Brazil,1,0,73,True,False
WC-2002,M-2002-11,2002-06-03,group stage,first half,T-25,Ecuador,0,1,14,True,False
WC-2002,M-2002-11,2002-06-03,group stage,second half,T-25,Ecuador,0,1,49,True,False
WC-2002,M-2002-11,2002-06-03,group stage,second half,T-25,Ecuador,0,1,54,True,False
WC-2002,M-2002-11,2002-06-03,group stage,second half,T-41,Italy,1,0,81,True,False
WC-2002,M-2002-12,2002-06-04,group stage,first half,T-17,Costa Rica,0,1,15,True,False
WC-2002,M-2002-12,2002-06-04,group stage,first half,T-17,Costa Rica,0,1,17,True,False
WC-2002,M-2002-12,2002-06-04,group stage,second half,T-14,China,1,0,60,True,False
WC-2002,M-2002-12,2002-06-04,group stage,second half,T-14,China,1,0,72,True,False
WC-2002,M-2002-12,2002-06-04,group stage,second half,T-14,China,1,0,77,True,False
WC-2002,M-2002-12,2002-06-04,group stage,second half,T-17,Costa Rica,0,1,79,True,False
WC-2002,M-2002-12,2002-06-04,group stage,second half,T-17,Costa Rica,0,1,85,True,False
WC-2002,M-2002-13,2002-06-04,group stage,first half,T-06,Belgium,0,1,21,True,False
WC-2002,M-2002-13,2002-06-04,group stage,first half,T-44,Japan,1,0,31,True,False
WC-2002,M-2002-13,2002-06-04,group stage,second half,T-44,Japan,1,0,54,True,False
WC-2002,M-2002-13,2002-06-04,group stage,second half,T-06,Belgium,0,1,62,True,False
WC-2002,M-2002-13,2002-06-04,group stage,second half,T-06,Belgium,0,1,82,True,False
WC-2002,M-2002-14,2002-06-04,group stage,first half,T-57,Poland,0,1,31,True,False
WC-2002,M-2002-14,2002-06-04,group stage,second half,T-71,Korea Republic,1,0,70,True,False
WC-2002,M-2002-14,2002-06-04,group stage,second half,T-57,Poland,0,1,79,True,False
WC-2002,M-2002-14,2002-06-04,group stage,second half,T-57,Poland,0,1,84,True,False
WC-2002,M-2002-14,2002-06-04,group stage,second half,T-71,Korea Republic,1,0,90,True,False
