key_id,goal_id,tournament_id,match_id,match_name,match_date,stage_name,team_id,team_name,team_code,home_team,away_team,player_id,family_name,given_name,shirt_number,player_team_id,player_team_name,player_team_code,minute_label,minute_regulation,minute_stoppage,match_period,own_goal,penalty,minute_total
2077,G-2077,WC-2002,M-2002-01,France vs Senegal,2002-05-31,group stage,T-65,Senegal,SEN,0,1,P-82212,Diop,Papa Bouba,19,T-65,Senegal,SEN,30',30,0,first half,False,False,30
2078,G-2078,WC-2002,M-2002-02,Republic of Ireland vs Cameroon,2002-06-01,group stage,T-11,Cameroon,CMR,0,1,P-18804,M'Boma,Patrick,10,T-11,Cameroon,CMR,39',39,0,first half,False,False,39
2079,G-2079,WC-2002,M-2002-02,Republic of Ireland vs Cameroon,2002-06-01,group stage,T-60,Republic Of Ireland,IRL,1,0,P-00105,Holland,Matt,8,T-60,Republic Of Ireland,IRL,52',52,0,second half,False,False,52
2080,G-2080,WC-2002,M-2002-03,Uruguay vs Denmark,2002-06-01,group stage,T-22,Denmark,DNK,0,1,P-50534,Tomasson,Jon Dahl,9,T-22,Denmark,DNK,45',45,0,first half,False,False,45
2081,G-2081,WC-2002,M-2002-03,Uruguay vs Denmark,2002-06-01,group stage,T-84,Uruguay,URY,1,0,P-49428,Rodríguez,Darío,6,T-84,Uruguay,URY,47',47,0,second half,False,False,47
2082,G-2082,WC-2002,M-2002-03,Uruguay vs Denmark,2002-06-01,group stage,T-22,Denmark,DNK,0,1,P-50534,Tomasson,Jon Dahl,9,T-22,Denmark,DNK,83',83,0,second half,False,False,83
2083,G-2083,WC-2002,M-2002-04,Germany vs Saudi Arabia,2002-06-01,group stage,T-31,Germany,DEU,1,0,P-27787,Klose,Miroslav,11,T-31,Germany,DEU,20',20,0,first half,False,False,20
2084,G-2084,WC-2002,M-2002-04,Germany vs Saudi Arabia,2002-06-01,group stage,T-31,Germany,DEU,1,0,P-27787,Klose,Miroslav,11,T-31,Germany,DEU,25',25,0,first half,False,False,25
2085,G-2085,WC-2002,M-2002-04,Germany vs Saudi Arabia,2002-06-01,group stage,T-31,Germany,DEU,1,0,P-84003,Ballack,Michael,13,T-31,Germany,DEU,40',40,0,first half,False,False,40
2086,G-2086,WC-2002,M-2002-04,Germany vs Saudi Arabia,2002-06-01,group stage,T-31,Germany,DEU,1,0,P-45490,Jancker,Carsten,9,T-31,Germany,DEU,45'+1',45,1,"first half, stoppage time",False,False,46
