rank,country_full,country_abrv,rank_date
96,Wales,WAL,2002-05-15
87,New Zealand,NZL,2002-05-15
126,Korea DPR,PRK,2002-05-15
111,Panama,PAN,2002-05-15
47,Peru,PER,2002-05-15
49,Slovakia,SVK,2002-05-15
48,Australia,AUS,2002-05-15
46,Côte d'Ivoire,CIV,2002-05-15
44,Ukraine,UKR,2002-05-15
43,Egypt,EGY,2002-05-15
42,Senegal,SEN,2002-05-15
40,Korea Republic,KOR,2002-05-15
39,Morocco,MAR,2002-05-15
38,Poland,POL,2002-05-15
36,Ecuador,ECU,2002-05-15
32,Japan,JPN,2002-05-15
31,Tunisia,TUN,2002-05-15
30,IR Iran,IRN,2002-05-15
28,Russia,RUS,2002-05-15
27,Nigeria,NGA,2002-05-15
25,Slovenia,SVN,2002-05-15
23,Belgium,BEL,2002-05-15
22,Turkey,TUR,2002-05-15
50,China PR,CHN,2002-05-15
52,Ghana,GHA,2002-05-15
75,Canada,CAN,2002-05-15
73,Qatar,QAT,2002-05-15
72,Bosnia and Herzegovina,BIH,2002-05-15
56,Iceland,ISL,2002-05-15
19,Sweden,SWE,2002-05-15
17,Cameroon,CMR,2002-05-15
1,France,FRA,2002-05-15
2,Brazil,BRA,2002-05-15
3,Argentina,ARG,2002-05-15
4,Colombia,COL,2002-05-15
6,Italy,ITA,2002-05-15
8,Spain,ESP,2002-05-15
7,Mexico,MEX,2002-05-15
12,England,ENG,2002-05-15
13,USA,USA,2002-05-15
15,Republic of Ireland,IRL,2002-05-15
16,Czech Republic,CZE,2002-05-15
48,Ghana,GHA,2006-05-17
45,Ukraine,UKR,2006-05-17
56,Belgium,BEL,2006-05-17
44,Serbia and Montenegro,SCG,2006-05-17
29,Poland,POL,2006-05-17
18,Japan,JPN,2006-05-17
17,Egypt,EGY,2006-05-17
16,Sweden,SWE,2006-05-17
15,Cameroon,CMR,2006-05-17
14,Turkey,TUR,2006-05-17
13,Italy,ITA,2006-05-17
11,Nigeria,NGA,2006-05-17
10,England,ENG,2006-05-17
8,France,FRA,2006-05-17
5,Spain,ESP,2006-05-17
5,USA,USA,2006-05-17
4,Mexico,MEX,2006-05-17
2,Czech Republic,CZE,2006-05-17
1,Brazil,BRA,2006-05-17
9,Argentina,ARG,2006-05-17
21,Tunisia,TUN,2006-05-17
41,Slovakia,SVK,2006-05-17
39,Ecuador,ECU,2006-05-17
37,Russia,RUS,2006-05-17
36,Morocco,MAR,2006-05-17
32,Côte d'Ivoire,CIV,2006-05-17
31,Republic of Ireland,IRL,2006-05-17
29,Korea Republic,KOR,2006-05-17
28,Senegal,SEN,2006-05-17
27,Colombia,COL,2006-05-17
23,IR Iran,IRN,2006-05-17
42,Australia,AUS,2006-05-17
63,Bosnia and Herzegovina,BIH,2006-05-17
99,Iceland,ISL,2006-05-17
88,Korea DPR,PRK,2006-05-17
66,Peru,PER,2006-05-17
