rank,country_full,country_abrv,rank_date,median_age
42,Senegal,SEN,2002-05-15,25.2
40,Korea Republic,KOR,2002-05-15,26.7
38,Poland,POL,2002-05-15,29.1
37,South Africa,ZAF,2002-05-15,26.7
36,Ecuador,ECU,2002-05-15,27.9
34,Saudi Arabia,SAU,2002-05-15,26.5
32,Japan,JPN,2002-05-15,25.3
31,Tunisia,TUN,2002-05-15,27.0
29,Costa Rica,CRI,2002-05-15,27.3
28,Russia,RUS,2002-05-15,27.6
27,Nigeria,NGA,2002-05-15,22.8
25,Slovenia,SVN,2002-05-15,27.8
24,Uruguay,URY,2002-05-15,25.6
23,Belgium,BEL,2002-05-15,30.3
22,Turkey,TUR,2002-05-15,28.6
21,Croatia,HRV,2002-05-15,28.1
50,China PR,CHN,2002-05-15,25.9
20,Denmark,DNK,2002-05-15,26.2
19,Sweden,SWE,2002-05-15,28.3
17,Cameroon,CMR,2002-05-15,25.1
1,France,FRA,2002-05-15,29.4
2,Brazil,BRA,2002-05-15,26.0
3,Argentina,ARG,2002-05-15,28.2
5,Portugal,PRT,2002-05-15,29.1
6,Italy,ITA,2002-05-15,28.7
8,Spain,ESP,2002-05-15,26.4
7,Mexico,MEX,2002-05-15,29.0
11,Germany,DEU,2002-05-15,28.2
12,England,ENG,2002-05-15,27.0
13,United States,USA,2002-05-15,28.8
15,Republic Of Ireland,IRL,2002-05-15,27.8
18,Paraguay,PRY,2002-05-15,28.8
48,Ghana,GHA,2006-05-17,24.9
47,Trinidad And Tobago,TTO,2006-05-17,29.5
45,Ukraine,UKR,2006-05-17,27.1
57,Angola,AGO,2006-05-17,26.4
44,Serbia And Montenegro,SCG,2006-05-17,27.7
29,Poland,POL,2006-05-17,27.3
18,Japan,JPN,2006-05-17,27.0
16,Sweden,SWE,2006-05-17,27.9
13,Italy,ITA,2006-05-17,28.7
19,Germany,DEU,2006-05-17,26.3
10,England,ENG,2006-05-17,25.4
8,France,FRA,2006-05-17,28.7
7,Portugal,PRT,2006-05-17,28.5
5,Spain,ESP,2006-05-17,25.0
5,United States,USA,2006-05-17,28.7
4,Mexico,MEX,2006-05-17,27.0
3,Netherlands,NLD,2006-05-17,26.1
2,Czech Republic,CZE,2006-05-17,28.8
1,Brazil,BRA,2006-05-17,29.6
9,Argentina,ARG,2006-05-17,25.7
21,Tunisia,TUN,2006-05-17,27.5
39,Ecuador,ECU,2006-05-17,27.0
35,Switzerland,CHE,2006-05-17,25.5
34,Saudi Arabia,SAU,2006-05-17,26.0
33,Paraguay,PRY,2006-05-17,26.3
32,Ivory Coast,CIV,2006-05-17,25.2
29,Korea Republic,KOR,2006-05-17,26.0
61,Togo,TGO,2006-05-17,26.4
26,Costa Rica,CRI,2006-05-17,28.4
23,Croatia,HRV,2006-05-17,27.6
23,IR Iran,IRN,2006-05-17,27.1
42,Australia,AUS,2006-05-17,27.6
27,Ivory Coast,CIV,2010-05-26,27.1
34,Slovakia,SVK,2010-05-26,26.4
30,Algeria,DZA,2010-05-26,26.0
31,Paraguay,PRY,2010-05-26,28.6
32,Ghana,GHA,2010-05-26,23.8
38,Honduras,HND,2010-05-26,28.0
25,Slovenia,SVN,2010-05-26,26.4
45,Japan,JPN,2010-05-26,28.7
36,Denmark,DNK,2010-05-26,28.7
24,Switzerland,CHE,2010-05-26,26.5
7,Argentina,ARG,2010-05-26,26.9
21,Nigeria,NGA,2010-05-26,26.4
1,Brazil,BRA,2010-05-26,29.3
2,Spain,ESP,2010-05-26,26.0
3,Portugal,PRT,2010-05-26,28.1
4,Netherlands,NLD,2010-05-26,26.8
5,Italy,ITA,2010-05-26,27.9
6,Germany,DEU,2010-05-26,24.9
8,England,ENG,2010-05-26,29.3
9,France,FRA,2010-05-26,28.4
13,Greece,GRC,2010-05-26,28.7
14,United States,USA,2010-05-26,27.2
15,Serbia,SRB,2010-05-26,26.3
16,Uruguay,URY,2010-05-26,26.0
17,Mexico,MEX,2010-05-26,28.5
18,Chile,CHL,2010-05-26,26.9
