tournament_id,match_id,match_date,stage_name,team_id,team_name,team_code,home_team,away_team,minute_label,minute_regulation,minute_stoppage,minute_total,match_period,player_id_in,family_name_in,given_name_in,shirt_number_in,player_id_out,family_name_out,given_name_out,shirt_number_out
WC-2022,M-2022-53,2022-12-05,round of 16,T-18,Croatia,HRV,0,1,99',99,0,99,"extra time, first half",P-22160,Vlašić,Nikola,13,P-07670,Kovačić,Mateo,8
WC-2022,M-2022-53,2022-12-05,round of 16,T-18,Croatia,HRV,0,1,99',99,0,99,"extra time, first half",P-64353,Majer,Lovro,7,P-29491,Modrić,Luka,10
WC-2022,M-2022-53,2022-12-05,round of 16,T-44,Japan,JPN,1,0,106',106,0,106,"extra time, second half",P-82447,Tanaka,Ao,17,P-75751,Morita,Hidemasa,13
WC-2022,M-2022-53,2022-12-05,round of 16,T-18,Croatia,HRV,0,1,106',106,0,106,"extra time, second half",P-31643,Livaja,Marko,14,P-93884,Perišić,Ivan,4
WC-2022,M-2022-53,2022-12-05,round of 16,T-18,Croatia,HRV,0,1,106',106,0,106,"extra time, second half",P-26942,Oršić,Mislav,18,P-99461,Budimir,Ante,17
WC-2022,M-2022-54,2022-12-05,round of 16,T-71,Korea Republic,KOR,0,1,46',46,0,46,second half,P-91889,Hong,Chul,14,P-82889,Jin-su,Kim,3
WC-2022,M-2022-54,2022-12-05,round of 16,T-71,Korea Republic,KOR,0,1,46',46,0,46,second half,P-61172,Jun-ho,Son,13,P-64292,Jung,Woo-young,5
WC-2022,M-2022-54,2022-12-05,round of 16,T-09,Brazil,BRA,1,0,63',63,0,63,second half,P-09441,Alves,Dani,13,P-55590,Militão,Éder,14
WC-2022,M-2022-54,2022-12-05,round of 16,T-71,Korea Republic,KOR,0,1,65',65,0,65,second half,P-32599,Seung-ho,Paik,8,P-67516,In-beom,Hwang,6
WC-2022,M-2022-54,2022-12-05,round of 16,T-09,Brazil,BRA,1,0,72',72,0,72,second half,P-70483,Martinelli,Gabriel,26,P-40137,Danilo,not applicable,2
WC-2022,M-2022-54,2022-12-05,round of 16,T-09,Brazil,BRA,1,0,72',72,0,72,second half,P-14060,Bremer,not applicable,24,P-92812,Júnior,Vinícius,20
WC-2022,M-2022-54,2022-12-05,round of 16,T-71,Korea Republic,KOR,0,1,74',74,0,74,second half,P-87514,Kang-in,Lee,18,P-93920,Lee,Jae-sung,10
WC-2022,M-2022-54,2022-12-05,round of 16,T-09,Brazil,BRA,1,0,80',80,0,80,second half,P-66020,Weverton,not applicable,12,P-21531,Alisson,not applicable,1
WC-2022,M-2022-54,2022-12-05,round of 16,T-09,Brazil,BRA,1,0,80',80,0,80,second half,P-06446,Rodrygo,not applicable,21,P-87008,Neymar,not applicable,10
WC-2022,M-2022-54,2022-12-05,round of 16,T-71,Korea Republic,KOR,0,1,80',80,0,80,second half,P-92710,Ui-jo,Hwang,16,P-87169,Gue-sung,Cho,9
WC-2022,M-2022-55,2022-12-06,round of 16,T-73,Spain,ESP,0,1,63',63,0,63,second half,P-29274,Morata,Álvaro,7,P-88433,Gavi,not applicable,9
WC-2022,M-2022-55,2022-12-06,round of 16,T-73,Spain,ESP,0,1,63',63,0,63,second half,P-30405,Soler,Carlos,19,P-09400,Asensio,Marco,10
WC-2022,M-2022-55,2022-12-06,round of 16,T-47,Morocco,MAR,1,0,66',66,0,66,second half,P-21052,Ezzalzouli,Abde,16,P-59033,Boufal,Sofiane,17
WC-2022,M-2022-55,2022-12-06,round of 16,T-73,Spain,ESP,0,1,75',75,0,75,second half,P-68218,Williams,Nico,12,P-31301,Torres,Ferran,11
WC-2022,M-2022-55,2022-12-06,round of 16,T-47,Morocco,MAR,1,0,82',82,0,82,second half,P-05265,Sabiri,Abdelhamid,11,P-09614,Mazraoui,Noussair,3
WC-2022,M-2022-55,2022-12-06,round of 16,T-47,Morocco,MAR,1,0,82',82,0,82,second half,P-05216,Cheddira,Walid,21,P-23330,Amallah,Selim,15
WC-2022,M-2022-55,2022-12-06,round of 16,T-47,Morocco,MAR,1,0,82',82,0,82,second half,P-91543,Attiyat Allah,Yahia,25,P-42517,En-Nesyri,Youssef,19
WC-2022,M-2022-55,2022-12-06,round of 16,T-47,Morocco,MAR,1,0,84',84,0,84,second half,P-14026,El Yamiq,Jawad,18,P-47490,Aguerd,Nayef,5
WC-2022,M-2022-55,2022-12-06,round of 16,T-73,Spain,ESP,0,1,98',98,0,98,"extra time, first half",P-49008,Balde,Alejandro,14,P-01416,Alba,Jordi,18
WC-2022,M-2022-55,2022-12-06,round of 16,T-73,Spain,ESP,0,1,98',98,0,98,"extra time, first half",P-33854,Fati,Ansu,25,P-40007,Olmo,Dani,21
WC-2022,M-2022-55,2022-12-06,round of 16,T-73,Spain,ESP,0,1,118',118,0,118,"extra time, second half",P-81427,Sarabia,Pablo,22,P-68218,Williams,Nico,12
