match_id,tournament_id,home_team_name,away_team_name,chunk_minute,time_remaining,score_diff,red_diff,yellow_diff,home_subs,away_subs,temperature,apparent_temp,humidity,wind_speed,pre_match_rank_diff,target_home_win,hPossession,total_shot_diff,total_sot_diff,foul_diff
M-2002-01,WC-2002,France,Senegal,15,75,0,0,0,0,0,17.914,18.616817,90.94624,10.483357,41,0,0.0,10.0,2.0,3.0
M-2002-01,WC-2002,France,Senegal,30,60,-1,0,0,0,0,17.214,17.909658,93.252205,9.693296,41,0,0.0,10.0,2.0,3.0
M-2002-01,WC-2002,France,Senegal,45,45,-1,0,0,0,0,17.214,17.909658,93.252205,9.693296,41,0,0.0,10.0,2.0,3.0
M-2002-01,WC-2002,France,Senegal,60,30,-1,0,0,1,0,17.214,17.909658,93.252205,9.693296,41,0,0.0,10.0,2.0,3.0
M-2002-01,WC-2002,France,Senegal,75,15,-1,0,0,1,0,16.964,17.61865,93.53798,9.422101,41,0,0.0,10.0,2.0,3.0
M-2002-01,WC-2002,France,Senegal,90,0,-1,0,0,2,0,16.964,17.61865,93.53798,9.422101,41,0,0.0,10.0,2.0,3.0
M-2002-02,WC-2002,Republic Of Ireland,Cameroon,15,75,0,0,0,0,0,22.896,25.079369,65.32017,6.9153743,2,0,,,,
M-2002-02,WC-2002,Republic Of Ireland,Cameroon,30,60,0,0,-1,0,0,22.796,24.00599,66.56063,6.638072,2,0,,,,
M-2002-02,WC-2002,Republic Of Ireland,Cameroon,45,45,-1,0,-1,0,0,22.796,24.00599,66.56063,6.638072,2,0,,,,
M-2002-02,WC-2002,Republic Of Ireland,Cameroon,60,30,0,0,-2,1,0,22.796,24.00599,66.56063,6.638072,2,0,,,,
M-2002-02,WC-2002,Republic Of Ireland,Cameroon,75,15,0,0,-2,1,1,22.246,23.473368,69.92575,7.10031,2,0,,,,
M-2002-02,WC-2002,Republic Of Ireland,Cameroon,90,0,0,0,-2,2,1,22.246,23.473368,69.92575,7.10031,2,0,,,,
M-2002-03,WC-2002,Uruguay,Denmark,15,75,0,0,0,0,0,22.579498,24.094587,76.21286,10.1376915,-4,0,0.0,-1.0,0.0,-4.0
M-2002-03,WC-2002,Uruguay,Denmark,30,60,0,0,-1,0,0,22.579498,24.094587,76.21286,10.1376915,-4,0,0.0,-1.0,0.0,-4.0
M-2002-03,WC-2002,Uruguay,Denmark,45,45,-1,0,0,0,0,22.579498,24.094587,76.21286,10.1376915,-4,0,0.0,-1.0,0.0,-4.0
M-2002-03,WC-2002,Uruguay,Denmark,60,30,0,0,1,0,1,21.329498,22.778091,80.20872,9.3669195,-4,0,0.0,-1.0,0.0,-4.0
M-2002-03,WC-2002,Uruguay,Denmark,75,15,0,0,1,0,2,21.329498,22.778091,80.20872,9.3669195,-4,0,0.0,-1.0,0.0,-4.0
M-2002-03,WC-2002,Uruguay,Denmark,90,0,-1,0,1,3,3,21.329498,22.778091,80.20872,9.3669195,-4,0,0.0,-1.0,0.0,-4.0
M-2002-04,WC-2002,Germany,Saudi Arabia,15,75,0,0,0,0,0,14.346,14.280176,87.7803,5.4833565,23,1,0.0,22.0,14.0,-9.0
M-2002-04,WC-2002,Germany,Saudi Arabia,30,60,2,0,0,0,0,13.296,12.440937,91.53272,10.009036,23,1,0.0,22.0,14.0,-9.0
M-2002-04,WC-2002,Germany,Saudi Arabia,45,45,4,0,-1,0,0,13.296,12.440937,91.53272,10.009036,23,1,0.0,22.0,14.0,-9.0
M-2002-04,WC-2002,Germany,Saudi Arabia,60,30,4,0,-1,1,2,13.296,12.440937,91.53272,10.009036,23,1,0.0,22.0,14.0,-9.0
M-2002-04,WC-2002,Germany,Saudi Arabia,75,15,6,0,-1,2,2,12.696,11.636106,92.40702,10.44,23,1,0.0,22.0,14.0,-9.0
M-2002-04,WC-2002,Germany,Saudi Arabia,90,0,8,0,-2,3,3,12.696,11.636106,92.40702,10.44,23,1,0.0,22.0,14.0,-9.0
M-2002-05,WC-2002,Argentina,Nigeria,15,75,0,0,0,0,0,26.8925,28.115913,41.430252,9.021574,24,1,0.0,11.0,7.0,5.0
M-2002-05,WC-2002,Argentina,Nigeria,30,60,0,0,0,0,0,26.6925,26.782137,41.374634,9.178235,24,1,0.0,11.0,7.0,5.0
M-2002-05,WC-2002,Argentina,Nigeria,45,45,0,0,0,0,0,26.6925,26.782137,41.374634,9.178235,24,1,0.0,11.0,7.0,5.0
M-2002-05,WC-2002,Argentina,Nigeria,60,30,0,0,-1,1,1,26.6925,26.782137,41.374634,9.178235,24,1,0.0,11.0,7.0,5.0
M-2002-05,WC-2002,Argentina,Nigeria,75,15,1,0,0,1,2,25.7925,25.28823,43.348465,8.557102,24,1,0.0,11.0,7.0,5.0
M-2002-05,WC-2002,Argentina,Nigeria,90,0,1,0,-1,3,2,25.7925,25.28823,43.348465,8.557102,24,1,0.0,11.0,7.0,5.0
M-2002-06,WC-2002,Paraguay,South Africa,15,75,0,0,2,0,0,21.393,23.111946,83.29719,12.287555,19,0,0.0,0.0,2.0,1.0
M-2002-06,WC-2002,Paraguay,South Africa,30,60,0,0,2,0,1,20.593,22.562204,87.220406,7.7043357,19,0,0.0,0.0,2.0,1.0
M-2002-06,WC-2002,Paraguay,South Africa,45,45,1,0,2,0,1,20.593,22.562204,87.220406,7.7043357,19,0,0.0,0.0,2.0,1.0
M-2002-06,WC-2002,Paraguay,South Africa,60,30,2,0,3,0,1,20.593,22.562204,87.220406,7.7043357,19,0,0.0,0.0,2.0,1.0
M-2002-06,WC-2002,Paraguay,South Africa,75,15,1,0,2,2,1,19.942999,22.043865,90.22699,6.489992,19,0,0.0,0.0,2.0,1.0
M-2002-06,WC-2002,Paraguay,South Africa,90,0,0,0,1,3,2,19.942999,22.043865,90.22699,6.489992,19,0,0.0,0.0,2.0,1.0
M-2002-07,WC-2002,England,Sweden,15,75,0,0,-1,0,0,23.456501,24.112267,62.784584,9.504273,7,0,0.0,-3.0,-2.0,3.0
M-2002-07,WC-2002,England,Sweden,30,60,1,0,-1,0,0,22.5565,23.742178,68.0118,6.989936,7,0,0.0,-3.0,-2.0,3.0
M-2002-07,WC-2002,England,Sweden,45,45,1,0,-1,0,0,22.5565,23.742178,68.0118,6.989936,7,0,0.0,-3.0,-2.0,3.0
M-2002-07,WC-2002,England,Sweden,60,30,0,0,0,0,1,22.5565,23.742178,68.0118,6.989936,7,0,0.0,-3.0,-2.0,3.0
M-2002-07,WC-2002,England,Sweden,75,15,0,0,1,2,1,21.5065,23.275414,76.04334,5.1544156,7,0,0.0,-3.0,-2.0,3.0
M-2002-07,WC-2002,England,Sweden,90,0,0,0,1,2,2,21.5065,23.275414,76.04334,5.1544156,7,0,0.0,-3.0,-2.0,3.0
M-2002-08,WC-2002,Spain,Slovenia,15,75,0,0,0,0,0,21.0075,24.295654,91.71605,2.6208394,17,1,0.0,3.0,4.0,-2.0
M-2002-08,WC-2002,Spain,Slovenia,30,60,0,0,0,0,0,20.3075,23.509356,94.57474,2.5455842,17,1,0.0,3.0,4.0,-2.0
M-2002-08,WC-2002,Spain,Slovenia,45,45,1,0,-1,0,0,20.3075,23.509356,94.57474,2.5455842,17,1,0.0,3.0,4.0,-2.0
M-2002-08,WC-2002,Spain,Slovenia,60,30,1,0,0,0,1,20.3075,23.509356,94.57474,2.5455842,17,1,0.0,3.0,4.0,-2.0
M-2002-08,WC-2002,Spain,Slovenia,75,15,2,0,1,2,2,19.7075,22.693527,95.440285,2.5455842,17,1,0.0,3.0,4.0,-2.0
M-2002-08,WC-2002,Spain,Slovenia,90,0,2,0,1,3,3,19.7075,22.693527,95.440285,2.5455842,17,1,0.0,3.0,4.0,-2.0
M-2002-11,WC-2002,Italy,Ecuador,15,75,1,0,1,0,0,13.496,12.930834,93.98219,9.360001,30,1,0.0,5.0,4.0,-2.0
M-2002-11,WC-2002,Italy,Ecuador,30,60,2,0,1,0,0,12.646,11.705752,95.82004,10.703569,30,1,0.0,5.0,4.0,-2.0
M-2002-11,WC-2002,Italy,Ecuador,45,45,2,0,1,0,0,12.646,11.705752,95.82004,10.703569,30,1,0.0,5.0,4.0,-2.0
M-2002-11,WC-2002,Italy,Ecuador,60,30,2,0,3,0,2,12.646,11.705752,95.82004,10.703569,30,1,0.0,5.0,4.0,-2.0
M-2002-11,WC-2002,Italy,Ecuador,75,15,2,0,3,3,2,11.796,10.500692,97.39204,11.841756,30,1,0.0,5.0,4.0,-2.0
M-2002-11,WC-2002,Italy,Ecuador,90,0,2,0,2,3,3,11.796,10.500692,97.39204,11.841756,30,1,0.0,5.0,4.0,-2.0
M-2002-09,WC-2002,Croatia,Mexico,15,75,0,0,0,0,0,21.096,21.412464,50.256687,7.386582,-14,0,0.0,0.0,0.0,1.0
M-2002-09,WC-2002,Croatia,Mexico,30,60,0,0,0,0,0,20.596,20.01991,53.22593,7.289445,-14,0,0.0,0.0,0.0,1.0
M-2002-09,WC-2002,Croatia,Mexico,45,45,0,0,0,0,0,20.596,20.01991,53.22593,7.289445,-14,0,0.0,0.0,0.0,1.0
M-2002-09,WC-2002,Croatia,Mexico,60,30,-1,-1,0,1,0,20.596,20.01991,53.22593,7.289445,-14,0,0.0,0.0,0.0,1.0
M-2002-09,WC-2002,Croatia,Mexico,75,15,-1,-1,0,3,1,19.996,19.402164,56.72243,6.489992,-14,0,0.0,0.0,0.0,1.0
M-2002-09,WC-2002,Croatia,Mexico,90,0,-1,-1,0,3,2,19.996,19.402164,56.72243,6.489992,-14,0,0.0,0.0,0.0,1.0
